Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,KiLib_Generator,Sim.Pins,MF,Price,SnapEDA_Link,MP,Availability,Check_prices
"C10, C9",2,22pf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,
"C11, C2",2,100nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,
"C3, C7",2,1uf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,
"C4, C5, C6",3,1nf,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,,,smt,Unpolarized capacitor,SMD_2terminal_chip_molded,,,,,,,
C8,1,10uf,C_Radial_D6.3mm_H7.0mm_P2.50mm,,,,tht,Polarized capacitor,capacitor/THT/other,,,,,,,
Crystal1,1,12Mhz,Crystal_HC49-4H_Vertical,,,,tht,Two pin crystal,crystal_resonator_oscillator,,,,,,,
D1,1,LED,LED_D5.0mm,,,,tht,Light emitting diode,LED/THT,1=K 2=A,,,,,,
J1,1,USB_B,USB_B_OST_USB-B1HSxx_Horizontal,,,,tht,USB Type B connector,,,,,,,,
J2,1,Conn_01x06_Pin,PinHeader_1x06_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x06, script generated",connector/pin_header_socket,,,,,,,
"R1, R10, R2, R7, R8, R9",6,22R,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,
"R3, R4, R5",3,1K5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,
R6,1,1M,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,,,smt,Resistor,SMD_2terminal_chip_molded,,,,,,,
U1,1,PCM2706CPJTR,QFP80P900X900X120-32N,TQFP-32 Texas Instruments,,,smt,"98dB SNR Stereo Full Speed DAC with line-out and S/PDIF output, Bus/Self-powered (I2S)",,,Texas Instruments,None,https://www.snapeda.com/parts/PCM2706CPJTR/Texas+Instruments/view-part/?ref=snap,PCM2706CPJTR,In Stock,https://www.snapeda.com/parts/PCM2706CPJTR/Texas+Instruments/view-part/?ref=eda
U2,1,ISO7240CFDWR,SOIC127P1030X265-16N,SOIC-16 Texas Instruments,,,smt,"Quad-channel, 4/0, 25-Mbps, default output low digital isolator",,,Texas Instruments,None,https://www.snapeda.com/parts/ISO7240CFDWR/Texas+Instruments/view-part/?ref=snap,ISO7240CFDWR,In Stock,https://www.snapeda.com/parts/ISO7240CFDWR/Texas+Instruments/view-part/?ref=eda
